UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Jio Payments Bank Apps,2.27,129.5,2.27,129.5,3,2022
Jio Payments Bank Apps,2.1,126.25,2.1,126.25,4,2022
Jio Payments Bank Apps,2.08,127.88,2.08,127.88,5,2022
Jio Payments Bank Apps,1.87,116.34,1.87,116.34,6,2022
Jio Payments Bank Apps,1.9,116.59,1.9,116.59,7,2022
Jupiter,1.32,164.8,1.32,164.8,3,2022
Jupiter,1.47,186.13,1.47,186.13,4,2022
Jupiter,1.79,215.44,1.79,215.44,5,2022
Jupiter,1.89,223.22,1.89,223.22,6,2022
Jupiter,2.1,254.14,2.1,254.14,7,2022
Jupiter Money,1.02,156.15,1.02,156.15,1,2022
Jupiter Money,1.13,140.79,1.13,140.79,2,2022
Kotak Mahindra Bank Apps,6.88,"1,333.06",6.88,"1,333.06",1,2022
Kotak Mahindra Bank Apps,6.91,"1,383.30",6.91,"1,383.30",2,2022
Kotak Mahindra Bank Apps,7.92,"1,587.51",7.92,"1,587.51",3,2022
Kotak Mahindra Bank Apps,7.96,"1,684.35",7.96,"1,684.35",4,2022
Kotak Mahindra Bank Apps,8.5,"1,882.81",8.5,"1,885.00",5,2022
Kotak Mahindra Bank Apps,8.33,"1,758.64",8.33,"1,762.28",6,2022
Kotak Mahindra Bank Apps,8.86,"1,815.87",8.86,"1,816.33",7,2022
Mobikwik,3.87,886.55,3.87,886.55,1,2022
Mobikwik,3.78,755.89,3.78,755.89,2,2022
Mobikwik,3.6,739.25,3.6,739.25,3,2022
Mobikwik,2.37,421.47,2.37,421.47,4,2022
Mobikwik,2.46,397.7,2.46,397.7,5,2022
Mobikwik,2.31,404.63,2.31,404.63,6,2022
Mobikwik,2.48,462.17,2.48,462.17,7,2022
Paytm Payments Bank App,615.9,"70,892.01",710.28,"85,125.97",1,2022
Paytm Payments Bank App,613.77,"72,204.32",706.77,"86,299.22",2,2022
Paytm Payments Bank App,729.63,"83,840.44",837.14,"95,650.36",3,2022
Paytm Payments Bank App,740.76,"85,918.88",851.61,"1,01,649.06",4,2022
Paytm Payments Bank App,780.87,"91,546.50",887.45,"1,08,276.78",5,2022
Paytm Payments Bank App,778.87,"89,388.78",877.5,"1,02,119.90",6,2022
Paytm Payments Bank App,828.63,"94,507.77",933.88,"1,11,149.66",7,2022
PhonePe,"2,140.28","4,05,173.78","2,140.28","4,05,173.78",1,2022
PhonePe,"2,120.20","4,07,640.11","2,120.20","4,07,640.11",2,2022
PhonePe,"2,527.15","4,71,401.26","2,527.15","4,71,401.26",3,2022
PhonePe,"2,616.26","4,86,557.03","2,616.26","4,86,557.03",4,2022
PhonePe,"2,778.75","5,11,028.81","2,778.75","5,11,028.81",5,2022
PhonePe,"2,732.59","5,01,474.48","2,732.59","5,01,474.48",6,2022
PhonePe,"2,993.83","5,24,742.49","2,993.83","5,24,742.49",7,2022
Samsung Pay,3.17,431.07,3.17,431.07,1,2022
Samsung Pay,3.14,421.97,3.14,421.97,2,2022
Samsung Pay,3.73,473.5,3.73,473.5,3,2022
Samsung Pay,3.81,470.11,3.81,470.11,4,2022
Samsung Pay,4.11,490.3,4.11,490.3,5,2022
Samsung Pay,4.07,468.23,4.07,468.23,6,2022
Samsung Pay,4.05,472.39,4.05,472.39,7,2022
State Bank of India Apps,3.62,"1,967.04",3.62,"1,967.05",1,2022
State Bank of India Apps,3.38,"1,863.42",3.38,"1,863.42",2,2022
State Bank of India Apps,4.01,"2,130.56",4.01,"2,130.56",3,2022
State Bank of India Apps,4.03,"2,118.00",4.03,"2,118.00",4,2022
State Bank of India Apps,4.18,"2,195.66",4.18,"2,195.66",5,2022
State Bank of India Apps,3.83,"1,947.10",3.83,"1,947.10",6,2022
State Bank of India Apps,4.15,"2,013.47",4.15,"2,013.47",7,2022
Ultracash,2.14,177.63,2.14,177.63,1,2022
Ultracash,1.51,158.7,1.51,158.7,2,2022
WhatsApp,2.34,205.83,2.34,205.83,1,2022
WhatsApp,2.24,207.09,2.24,207.09,2,2022
WhatsApp,2.54,239.78,2.54,239.78,3,2022
WhatsApp,2.5,242.4,2.5,242.4,4,2022
WhatsApp,3.48,294.98,3.48,294.98,5,2022
WhatsApp,23.04,429.06,23.04,429.06,6,2022
WhatsApp,6.18,502,6.18,502,7,2022
Yes Bank Apps,27.24,"5,816.96",27.59,"5,817.16",1,2022
Yes Bank Apps,31.99,"6,551.55",32.17,"6,551.61",2,2022
Yes Bank Apps,35.25,"8,746.74",35.25,"8,746.74",3,2022
Yes Bank Apps,34.07,"10,246.99",34.07,"10,246.99",4,2022
Yes Bank Apps,38.19,"10,760.55",39.69,"11,760.16",5,2022
Yes Bank Apps,41.67,"9,889.56",44.03,"11,147.17",6,2022
Yes Bank Apps,55.35,"13,868.41",60.8,"15,236.04",7,2022
